sample	fastq_1	fastq_2	strandedness	tpt
UF-3016-1520-0	/proj/sens2022005/delivery05927/INBOX/UF-3016/220325_A00605_0384_BHGHHGDSX3/220325_A00605_0384_BHGHHGDSX3/Sample_UF-3016-1520-0/UF-3016-1520-0_S23_L001_R1_001.fastq.gz	/proj/sens2022005/delivery05927/INBOX/UF-3016/220325_A00605_0384_BHGHHGDSX3/220325_A00605_0384_BHGHHGDSX3/Sample_UF-3016-1520-0/UF-3016-1520-0_S23_L001_R2_001.fastq.gz	reverse	Baseline
UF-3016-1601-0	/proj/sens2022005/delivery05927/INBOX/UF-3016/220325_A00605_0384_BHGHHGDSX3/220325_A00605_0384_BHGHHGDSX3/Sample_UF-3016-1601-0/UF-3016-1601-0_S62_L002_R1_001.fastq.gz	/proj/sens2022005/delivery05927/INBOX/UF-3016/220325_A00605_0384_BHGHHGDSX3/220325_A00605_0384_BHGHHGDSX3/Sample_UF-3016-1601-0/UF-3016-1601-0_S62_L002_R2_001.fastq.gz	reverse	Baseline
UF-3016-1602-0	/proj/sens2022005/delivery05927/INBOX/UF-3016/220325_A00605_0384_BHGHHGDSX3/220325_A00605_0384_BHGHHGDSX3/Sample_UF-3016-1602-0/UF-3016-1602-0_S32_L001_R1_001.fastq.gz	/proj/sens2022005/delivery05927/INBOX/UF-3016/220325_A00605_0384_BHGHHGDSX3/220325_A00605_0384_BHGHHGDSX3/Sample_UF-3016-1602-0/UF-3016-1602-0_S32_L001_R2_001.fastq.gz	reverse	Baseline
UF-3016-1603-0-2	/proj/sens2022005/delivery05927/INBOX/UF-3016/220218_A00181_0431_AHN33MDSX2/220218_A00181_0431_AHN33MDSX2/Sample_UF-3016-1603-0-2/UF-3016-1603-0-2_S65_L002_R1_001.fastq.gz	/proj/sens2022005/delivery05927/INBOX/UF-3016/220218_A00181_0431_AHN33MDSX2/220218_A00181_0431_AHN33MDSX2/Sample_UF-3016-1603-0-2/UF-3016-1603-0-2_S65_L002_R2_001.fastq.gz	reverse	Baseline
UF-3016-1604-0	/proj/sens2022005/delivery05927/INBOX/UF-3016/211217_A00605_0328_AHLG2TDSX2/211217_A00605_0328_AHLG2TDSX2/Sample_UF-3016-1604-0/UF-3016-1604-0_S72_L002_R1_001.fastq.gz	/proj/sens2022005/delivery05927/INBOX/UF-3016/211217_A00605_0328_AHLG2TDSX2/211217_A00605_0328_AHLG2TDSX2/Sample_UF-3016-1604-0/UF-3016-1604-0_S72_L002_R2_001.fastq.gz	reverse	Baseline
UF-3016-1605-0	/proj/sens2022005/delivery05927/INBOX/UF-3016/211217_A00605_0328_AHLG2TDSX2/211217_A00605_0328_AHLG2TDSX2/Sample_UF-3016-1605-0/UF-3016-1605-0_S19_L001_R1_001.fastq.gz	/proj/sens2022005/delivery05927/INBOX/UF-3016/211217_A00605_0328_AHLG2TDSX2/211217_A00605_0328_AHLG2TDSX2/Sample_UF-3016-1605-0/UF-3016-1605-0_S19_L001_R2_001.fastq.gz	reverse	Baseline
UF-3016-1606-0	/proj/sens2022005/delivery05927/INBOX/UF-3016/220218_A00181_0431_AHN33MDSX2/220218_A00181_0431_AHN33MDSX2/Sample_UF-3016-1606-0/UF-3016-1606-0_S70_L002_R1_001.fastq.gz	/proj/sens2022005/delivery05927/INBOX/UF-3016/220218_A00181_0431_AHN33MDSX2/220218_A00181_0431_AHN33MDSX2/Sample_UF-3016-1606-0/UF-3016-1606-0_S70_L002_R2_001.fastq.gz	reverse	Baseline
UF-3016-1607-0	/proj/sens2022005/delivery05927/INBOX/UF-3016/220121_A00181_0412_AHNVKNDSX2/220121_A00181_0412_AHNVKNDSX2/Sample_UF-3016-1607-0/UF-3016-1607-0_S58_L004_R1_001.fastq.gz	/proj/sens2022005/delivery05927/INBOX/UF-3016/220121_A00181_0412_AHNVKNDSX2/220121_A00181_0412_AHNVKNDSX2/Sample_UF-3016-1607-0/UF-3016-1607-0_S58_L004_R2_001.fastq.gz	reverse	Baseline
UF-3016-1608-0	/proj/sens2022005/delivery05927/INBOX/UF-3016/220325_A00605_0384_BHGHHGDSX3/220325_A00605_0384_BHGHHGDSX3/Sample_UF-3016-1608-0/UF-3016-1608-0_S88_L002_R1_001.fastq.gz	/proj/sens2022005/delivery05927/INBOX/UF-3016/220325_A00605_0384_BHGHHGDSX3/220325_A00605_0384_BHGHHGDSX3/Sample_UF-3016-1608-0/UF-3016-1608-0_S88_L002_R2_001.fastq.gz	reverse	Baseline
UF-3016-1609-0	/proj/sens2022005/delivery05927/INBOX/UF-3016/211217_A00605_0328_AHLG2TDSX2/211217_A00605_0328_AHLG2TDSX2/Sample_UF-3016-1609-0/UF-3016-1609-0_S77_L002_R1_001.fastq.gz	/proj/sens2022005/delivery05927/INBOX/UF-3016/211217_A00605_0328_AHLG2TDSX2/211217_A00605_0328_AHLG2TDSX2/Sample_UF-3016-1609-0/UF-3016-1609-0_S77_L002_R2_001.fastq.gz	reverse	Baseline
